__time,/fmu/in/actuator_motors/control[0],/fmu/in/actuator_motors/control[10],/fmu/in/actuator_motors/control[11],/fmu/in/actuator_motors/control[1],/fmu/in/actuator_motors/control[2],/fmu/in/actuator_motors/control[3],/fmu/in/actuator_motors/control[4],/fmu/in/actuator_motors/control[5],/fmu/in/actuator_motors/control[6],/fmu/in/actuator_motors/control[7],/fmu/in/actuator_motors/control[8],/fmu/in/actuator_motors/control[9],/fmu/in/actuator_motors/reversible_flags,/fmu/in/actuator_motors/timestamp,/fmu/in/actuator_motors/timestamp_sample,/fmu/in/actuator_servos/control[0],/fmu/in/actuator_servos/control[1],/fmu/in/actuator_servos/control[2],/fmu/in/actuator_servos/control[3],/fmu/in/actuator_servos/control[4],/fmu/in/actuator_servos/control[5],/fmu/in/actuator_servos/control[6],/fmu/in/actuator_servos/control[7],/fmu/in/actuator_servos/timestamp,/fmu/in/actuator_servos/timestamp_sample,/fmu/out/vehicle_attitude/delta_q_reset[0],/fmu/out/vehicle_attitude/delta_q_reset[1],/fmu/out/vehicle_attitude/delta_q_reset[2],/fmu/out/vehicle_attitude/delta_q_reset[3],/fmu/out/vehicle_attitude/q[0],/fmu/out/vehicle_attitude/q[1],/fmu/out/vehicle_attitude/q[2],/fmu/out/vehicle_attitude/q[3],/fmu/out/vehicle_attitude/quat_reset_counter,/fmu/out/vehicle_attitude/timestamp,/fmu/out/vehicle_attitude/timestamp_sample
1745491932.804044,0.011398876,0.000000000,0.000000000,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1745491932803960.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,
1745491932.813928,,,,,,,,,,,,,,,,,,,,,,,,,,0.992614746,-0.000000006,-0.000000002,0.121309713,0.990385354,0.045161851,-0.026253462,0.128094092,10.000000000,1745491932812769.000000000,1745491932812598.000000000
1745491932.814040,0.011885132,0.000000000,0.000000000,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1745491932813975.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,
1745491932.814059,,,,,,,,,,,,,,,,0.040498517,-0.052834578,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1745491932813918.000000000,0.000000000,,,,,,,,,,,
1745491932.824023,,,,,,,,,,,,,,,,,,,,,,,,,,0.992614746,-0.000000006,-0.000000002,0.121309713,0.990386784,0.045144275,-0.026270647,0.128085494,10.000000000,1745491932822776.000000000,1745491932822601.000000000
1745491932.824233,0.012370198,0.000000000,0.000000000,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1745491932824084.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,
1745491932.824260,,,,,,,,,,,,,,,,0.040516909,-0.052809950,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1745491932824019.000000000,0.000000000,,,,,,,,,,,
1745491932.834083,,,,,,,,,,,,,,,,,,,,,,,,,,0.992614746,-0.000000006,-0.000000002,0.121309713,0.990389287,0.045122609,-0.026251752,0.128077924,10.000000000,1745491932832775.000000000,1745491932832603.000000000
1745491932.834172,,,,,,,,,,,,,,,,0.040489145,-0.052785825,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1745491932834000.000000000,0.000000000,,,,,,,,,,,
1745491932.834204,0.012854028,0.000000000,0.000000000,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1745491932834069.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,
